"sitename","siteid","datasetid","altitude","longitude","latitude","sitedescription","depositionalenvironment"
"Site 14 (Swain unpublished)",84,84,442,-87.97,46.05,NA,"Unknown"
"Forest Pond 1",816,840,2797,-109.93889,43.47167,"Kettle pond. Physiography: high plateau in Wind River Range. Surrounding vegetation: clearcut in Pinus contorta.","Kettle Lake"
"Lac Mimi",1698,8400,423,-70.37583,47.49694,"Rock basin. Physiography: low mountain with steep slopes. Surrounding vegetation: Betulo papyriferaea - Abietetum.","Natural Lake"
"Minakokosa Lake",1699,8401,122,-155.03333,66.91667,"Morainally dammed lake. Physiography: valley bordered by mountains. Surrounding vegetation: spruce forest-shrub tundra.","Moraine Dammed Lake"
"Mirror Pool",1703,8403,302,-97.24139,46.52583,"Section on south bank of Sheyenne River. Physiography: Sheyenne River Delta, level.","Fluvial"
"Molas Lake",1705,8405,3200,-107.682735,37.74759,"Lake in depression of limestone bedrock. Physiography: Animas Valley, San Juan Mountains. Surrounding vegetation: Picea-Abies foret, grassland.","Glacial Scour Lake"
"Molas Pass Bog",1706,8406,3220,-107.6975,37.73778,"Linear depression of limestone bedrock. Physiography: Animas Valley, San Juan Mountains. Surrounding vegetation: Picea, Abies, and grassland.","Fen"
"Monhegan Island Meadow",1707,8407,3,-69.3,43.76667,NA,"Mire"
"Lac Montagnais",1709,8408,800,-71.175,47.90778,"Scalariform, patterned poor fen. Physiography: hilly morainic landscape. Surrounding vegetation: Betulo papyriferaea - Abietetum.","Bog"
"Montezuma Well",1710,8409,1081,-111.75225,34.6492,"Thermal spring sinkhole, 16 m deep. Surrounding vegetation: desert scrub/semidesert grassland.","Solution Origin Lake"
"Forest Pond 1",816,841,2797,-109.93889,43.47167,"Kettle pond. Physiography: high plateau in Wind River Range. Surrounding vegetation: clearcut in Pinus contorta.","Kettle Lake"
"Moon Lake",1711,8410,444,-98.15984,46.85592,"Kettle lake. Physiography: rolling end moraine. Native vegetaton: transition from tallgrass to mixed grass prairie. Heavily agricultural today.","Kettle Lake"
"18 [Moraine Lake]",1712,8411,385,-58.05,52.26667,NA,"Lacustrine"
"Mordsger Lake",1713,8412,400,-94.25,51.38333,"Physiography: Canadian shield, 10-30 m local relief. Surrounding vegetation: Picea mariana/Pinus banksiana.","Glacial Origin Lake"
"Mosquito Lake Bog",1715,8414,198,-122.11778,48.76917,"Sphagnum bog. Physiography: Puget Sound Lowland. Surrounding vegetation: western hemlock-douglas fir.","Kettle Lake"
"Moulton Pond",1716,8415,143,-68.63917,44.6275,NA,"Lacustrine"
"Mud Creek Site 1",1718,8417,5,-80.60472,25.21972,"Dwarf Rhizophora/wet prairie. Physiography: coastal plain. Surrounding vegetation: dwarf Rhizophora scrub forest.","Marsh"
"Mud Lake",1719,8418,9,-81.86601,29.29993,"Sinkhole lake. Upland vegetation i sand-pine (Pinus clausa) scrub, with a dense understory of sclerophyllous shrubs, including Quercus myrtifolia, Q. virginiana, Q. chapmanni, Q. margaretta, Carya floridana, Serenoa repens, Sabal etonia, Vaccinium arboreum, Lyonia ferruginea, Persia humilis, and Ceratiola ericoides. The escarpment east of the lake is occupied by a 200-m zone of Southern Mixed Hardwood Forest, including Carya cf. C. glabra, Quercus laurifolia, Q. virginiana, Q. nigra, Magnolia grandiflora, Persea borbonia, Sabal palmetto, and Pinus elliottii. The lake margin is a strip of consolidated peat ~50 m wide, occupied by Acer rubrum, Fraxinus caroliniana, Ulmus floridana, Liquidambar styraciflua, Magnolia virginiana, Persea sp., Ilex cassine, and Myrica cerifera. Cephalanthus occidentalis and Lyonia lucida occur locally.","Solution Origin Lake"
"Mud Lake",1721,8419,424,-94.75542,46.858935,"Kettle lake in drumlin field. Physiography: outwash capped drumlin field. Surrounding vegetation: Pinus banksiana forest.","Kettle Lake"
"Forest Pond 2",817,842,2766,-109.95,43.43889,"Kettle pond. Physiography: high plateau in Wind River Range. Surrounding vegetation: Pinus contorta forest.","Kettle Lake"
"Munday Creek",1723,8420,88,-141.96667,60.03333,"Muskeg. Physiography: Coastal mountains. Surrounding vegetation: Picea, Tsuga het, Tsuga mer, Alnus.","Mire"
"Muscotah Marsh",1725,8421,280,-95.51333,39.53,"Marsh maintained by an artesian spring. Physiography: floodplain edge of the Delaware River.","Mire"
"Muskox Lake",1726,8422,305,-122.66667,71.78333,"Depression in morainal deposits. Physiography: morainal deposits of Kellett till.","Kettle Lake"
"Myrtle Lake",1729,8423,393,-93.3853,47.982605,"Lake surrounded by peatland. Physiography: Red Lake lowlands. Surrounding vegetation: Sphagnum, Piceto-Chamaedophnetum.","Glacial Origin Lake"
"Natla Bog",1731,8424,1380,-128.8,63.01667,"Bog dissected by Natla River. Physiography: intermontane basin. Surrounding vegetation: Betula, Cladonia, Carex, Sphagnum.","Bog"
"Natural Lake",1732,8425,170,-95.38611,34.66333,"Lake on floodplain, formed on shale. Physiography: Ouachita Mountains. Surrounding vegetation: cattails, willows, elms, oaks.","Lacustrine"
"Nedlouc",1733,8426,330,-71.65,57.65,"Rock basin lake. Physiography: Morainic plateau, shallow till. Surrounding vegetation: Shrub tundra / Forest tundra.","Natural Lake"
"Nels Lake",1735,8428,428,-91.89195,48.024,"Drainage lake. Surrounding vegetation: pine/aspen/spruce.","Glacial Origin Lake"
"Nelson Pond",1736,8429,335,-92.686585,46.40707,"Pond on red clay till, Nickerson Moraine. Physiography: strongly rolling. Surrounding vegetation: agricultural.","Glacial Origin Lake"
"Forest Pond 2",817,843,2766,-109.95,43.43889,"Kettle pond. Physiography: high plateau in Wind River Range. Surrounding vegetation: Pinus contorta forest.","Kettle Lake"
"Neville Marsh",1738,8431,305,-83.83333,40.54583,"Physiography: Till Plains.","Marsh"
"Niantic",1740,8432,183,-89.15639,39.83917,"Loess covered lake sediments. Physiography: Illinoisan drift plain. Surrounding vegetation: agricultural, maize and soybeans.","Loess"
"Nichols Brook Site",1741,8433,438,-78.47799,42.54357,"Stream-bank section along Nichols Brook. Physiography: Chaffee outwash plain.","Fluvial Origin Lake"
"Nicol Lake",1742,8434,348,-103.48333,61.58333,NA,"Lacustrine"
"Niliq Lake",1748,8439,274,-160.43333,67.86667,"Lake of unknown origin, glac. topography. Physiography: low rolling hills. Surrounding vegetation: birch-alder shrub tundra.","Natural Lake (Origin Unknown)"
"Forest Lake",818,844,1895,-112.16583,46.45167,"Sedge marsh. Physiography: Boulder Mountains. Surrounding vegetation: Abies/Pseudotsuga/Alnus/Pinus/Picea.","Marsh"
"Nina Lake",1749,8440,380,-81.5,46.6,"Small lake in rock basin. Surrounding vegetation: Pinus/Betula/Abies/Populus/Acer.","Lacustrine"
"No Bottom Pond",1756,8443,6,-70.20833,41.28333,"Kettle lake. Physiography: rolling morainic. Surrounding vegetation: heathland (anthropogenic).","Kettle Lake"
"Nonconnah Creek [TN-1]",1757,8444,76,-89.91667,35.08333,NA,"Fluvial"
"North Pond",1759,8445,586,-73.053365,42.65171,NA,"Glacial Origin Lake"
"Water Conservation Area 3B, Nuthouse Far Tail",1760,8446,5,-80.55667,25.88556,NA,"Marsh"
"Water Conservation Area 3B, Nuthouse Head",1761,8447,5,-80.5125,25.88917,NA,"Marsh"
"Nutt Lake",1762,8448,305,-79.45,45.21667,"Glacial scour/kettle lake. Physiography: Canadian shield, rough and rocky. Surrounding vegetation: hemlock, maple, birch, beech forest.","Glacial Scour Lake"
"Northwest River Pond",1763,8449,29,-60.16667,53.51667,NA,"Lacustrine"
"Forge Pond",819,845,69,-74.39917,40.85583,"Pond. Physiography: glaciated mountains. Surrounding vegetation: mixed deciduous/coniferous forest.","Artificial Lake"
"Lake O'Hara",1765,8450,2015,-116.35,51.35972,"Lake in glacial valley. Physiography: Lake Louise group of peaks. Surrounding vegetation: Abies lasiocarpa, Picea engelmannii.","Glacial Scour Lake"
"West Okoboji Lake",1766,8451,426,-95.12645,43.34114,NA,"Lacustrine"
"Old Field",1768,8453,97,-89.83333,37.11667,"Morehouse Lowland, bottomland depression. Physiography: Mississppi River bottom. Surrounding vegetation: canebrakes and bottomland swamp forest.","Mire"
"Oliver Pond",1770,8454,250,-89.32389,48.42222,"Shallow lake of glacial origin. Physiography: Lake Superior Basin.","Glacial Origin Lake"
"Ondris Pond",1772,8455,363,-94.408,46.341585,"Depression in Crow Wing outwash plain. Physiography: little relief. Surrounding vegetation: oak woods.","Kettle Lake"
"Opabin Lake",1776,8457,2280,-116.3125,51.34306,"Lake in glacial valley. Physiography: Lake Louise group of peaks. Surrounding vegetation: heath tundra, isolated krummholz mats.","Cirque Lake"
"Fox Pond",820,846,NA,-95.55833,47.165,"Kettle lake. Physiography: Itasca Moraine, rolling.","Kettle Lake"
"Otto Mielke Lake",1781,8461,495,-89.625945,45.924745,NA,"Glacial Origin Lake"
"Lac Ouellet",1782,8462,300,-68.94389,47.53278,"Rock basin. Physiography: coastal estuarine plateau, undulating. Surrounding vegetation: Betulo luteae - Aceretum sacchari.","Natural Lake"
"Palace Pier Section",1788,8467,73,-79.48,43.62,NA,"Terrestrial"
"Panther Run Pond",1789,8468,634,-77.41667,40.8,NA,"Lacustrine"
"Paradise Lake",1790,8469,180,-57.75,53.05,"Shallow lake in are of low relief. Physiography: Mecatina Plateau/Laurentian region. Surrounding vegetation: black spruce.","Glacial Origin Lake"
"Frains Lake",821,847,271,-83.63,42.33,NA,"Lacustrine"
"Park Pond 1",1792,8471,2705,-109.95944,43.46806,"Kettle pond. Physiography: high plateau in Wind River Range. Surrounding vegetation: Artemisia grassland (Fish Creek Park).","Kettle Lake"
"Park Pond 2",1793,8472,2714,-109.94083,43.45,"Kettle pond. Physiography: high plateau in Wind River Range. Surrounding vegetation: Artemisia grassland (Fish Creek Park).","Kettle Lake"
"Park Pond 3",1794,8473,2739,-109.92,43.45917,"Kettle pond. Physiography: high plateau in Wind River Range. Surrounding vegetation: Artemisia grassland (Fish Creek Park).","Kettle Lake"
"Parkhill Creek",1795,8474,181,-81.75,43.18,NA,"Archaeological"
"Parrott's Pond",1796,8475,74,-76.7,44.22,NA,"Lacustrine"
"Pasacaco Pond",1797,8476,3,-71.45,41.51667,NA,"Lacustrine"
"Pass Lake",1800,8478,250,-88.74,48.56,"Scour lake dammed by L. Minong beech bar. Physiography: Lake Superior basin.","Glacial Scour Lake"
"Lac Patricia",1802,8479,538,-64.68,56.67,NA,"Lacustrine"
"Paynter Marsh",1806,8482,188,-78.34,44.1,"Swamp. Physiography: drumlinized till plain. Surrounding vegetation: eastern white cedar hardwood swamp.","Lacustrine"
"Pittsburg Basin",1812,8483,162,-89.18984,38.90363,"Pittsburg Basin contained a circular lake that was drained in 1926 for agricultural purposes. The pre-homesteading vegetation of the region consisted of species-poorQuercus-Carya forest along the streams, with prairie on the uplands.","Drained Lake"
"Pickerel Lake",1813,8484,395,-97.27683,45.501375,"Lake surrounded by steep slopes. Physiography: Coteau des Prairies. Surrounding vegetation: Agricultural, Que/Fra/Til on slopes.","Glacial Origin Lake"
"Peatsah Section",1816,8485,92,-79.82,43.33,"Section along a small creek. Physiography: undulating to flat or plain like.","Terrestrial"
"Ped Pond",1818,8487,211,-142.06667,67.2,"Ancient flood channel. Physiography: river terraces. Surrounding vegetation: spruce forest.","Fluvial Origin Lake"
"Peggy Lake",1819,8488,470,-92,49.48,NA,"Lacustrine"
"Hayes Lake",823,849,391,-93.75,49.58333,NA,"Lacustrine"
"Perch Lake",1824,8492,701,-100.89889,51.65139,"Small kettle lake. Physiography: Duck Mountain, Manitoba Escarpment. Surrounding vegetation: Picea, Populus.","Kettle Lake"
"Lac Petel",1826,8494,270,-66.26667,50.55,"Steep slopes, rugged terrain. Physiography: lake shore slopes steeply, Laurentide M. Surrounding vegetation: balsam fir, black spruce.","Glacial Scour Lake"
"Peterson Slough",1827,8495,460,-95.31667,46.96667,"Typha marsh with 1 ha open water. Physiography: Park Rapids Outwash Plain. Surrounding vegetation: Pinus banksiana/Quercus forest.","Kettle Lake"
"Pilot Mound Site",1833,8498,352,-93.9,42.16,NA,"Mire"
"Pinckneyville Creek Site 19",1834,8499,79,-91.47944,31.04583,"Streamcut bluff; alluvial sediments. Physiography: dissected, loess-capped upland.","Stream-cut Exposure"
"Site 15 (Swain unpublished)",85,85,488,-88.22,46.57,NA,"Unknown"
"French Lake",824,850,327,-94.42074,44.945765,NA,"Lacustrine"
"Pinckneyville Creek Site 20",1835,8500,79,-91.48194,31.04833,"Streamcut bluff; alluvial sediments. Physiography: dissected, loess-capped upland.","Stream-cut Exposure"
"Pinckneyville Creek Site 21",1836,8501,79,-91.48222,31.04778,"Streamcut bluff; alluvial sediments. Physiography: dissected, loess-capped upland.","Stream-cut Exposure"
"Pinecrest Lake",1838,8502,320,-121.432065,49.49313,"Kettle lake. Physiography: eastern slope of Coast Mountains. Surrounding vegetation: douglas fir, w. hemlock, w. red cedar.","Kettle Lake"
"Pink Lake",1840,8503,162,-75.80833,45.46944,"Bedrock basin. Physiography: Canadian shield. Surrounding vegetation: Beech, Maple.","Glacial Scour Lake"
"Pitcher Bog",1841,8504,220,-79.98,44.82,NA,"Bog"
"Pixie Lake",1842,8505,70,-124.19667,48.59639,"Kettle lake. Physiography: San Juan River floodplain. Surrounding vegetation: hemlock, cedar, fir.","Kettle Lake"
"Lac Pluvieux",1893,8506,180,-69.35278,47.84389,"Rock basin. Physiography: Coastal estuarine plateau, undulating. Surrounding vegetation: Betulo luteae - Aceretum sacchari.","Natural Lake"
"Poland Spring Pond",1896,8509,94,-70.35,44.03333,"Kettle lake in esker complex. Physiography: esker complex. Surrounding vegetation: white pine, northern hardwoods.","Kettle Lake"
"Frenchmens Bay",825,851,75,-79.1,43.82,NA,"Lacustrine"
"Pond Mills Pond",1898,8510,274,-81.25,42.91667,NA,"Lacustrine"
"Porphyry Lake",1899,8511,1100,-123.83333,48.90556,"Physiography: Nanaimo Lakes and Highlands region. Surrounding vegetation: shore bog, forests of hemlock and fir.","Unknown"
"Porqui Pond",1900,8512,188,-79.78,44.93,NA,"Lacustrine"
"Portage Lake",1901,8513,397,-94.113,47.081,"Kettle lake. Physiography: stagnation moraine, rolling.","Kettle Lake"
"Portage Marsh",1902,8514,189,-87.2225,41.57611,"Shallow marsh. Physiography: low relief ancestral lake bottom. Surrounding vegetation: Carex/Calamagrostis/Typha/Dulichium.","Marsh"
"Portage Bog",1903,8515,8,-64.075,46.67361,"Raised Sphagnum bog. Physiography: gently rolling, Maritime Plain. Surrounding vegetation: spruce, maple, birch, hemlock.","Raised Bog"
"Posy Lake",1905,8517,2653,-111.696035,37.93746,"Small lake on glacial deposits. Physiography: Aquarius plateau. Surrounding vegetation: transition zone between lower elevation pinyon-juniper forest and higher elevation Pinus ponderosa, Pseudotsuga menziesii, Populus tremuloides, and occasional Pinus edulis occur around the lake.","Glacial Origin Lake"
"Potato Lake",1906,8518,2205,-111.34528,34.46222,"Solution basin in Coconino Sandstone. Physiography: Mogollon Rim. Surrounding vegetation: open Pinus ponderosa forest.","Solution Origin Lake"
"Potts Mountain Pond",1907,8519,840,-80.13333,37.6,"Pond on ridge. Physiography: Appalachian mtns, Rose Hill Formation. Surrounding vegetation: Betula, Tsuga, Acer, Fagus, Tilia,.","Natural Lake (Origin Unknown)"
"Fresh Pond",826,852,28,-71.575,41.15833,"Kettle lake. Physiography: Block Island - morainal. Surrounding vegetation: Viburnum, Myrica, Amelanchier thickets.","Kettle Lake"
"Powers Fort Swale",1908,8520,91,-90.58333,36.6,"Slackwater pond. Physiography: Qtb3 braided river terrace. Surrounding vegetation: bottomland forest.","Fluvial Origin Lake"
"Chesapeake Bay, Parker Creek",1909,8521,0,-76.47861,38.54778,"Estuary. Physiography: coastal plain. Surrounding vegetation: not applicable.","Estuarine"
"Protection Bog",1914,8524,430,-78.46667,42.62222,"Sphagnum bog with Ericaceous shrubs. Physiography: Valley Heads Moraine. Surrounding vegetation: Acer, Fagus, Tsuga forest.","Mire"
"Point Escuminac",1915,8525,6,-64.8,47.075,"Coastal peat cliffs, ombrotrophic bog. Physiography: level peatland.","Mire"
"Chesapeake Bay, Potomac River",1916,8526,0,-76.22,38.02694,"Estuary. Physiography: coastal plain. Surrounding vegetation: not applicable.","Estuarine"
"Chesapeake Bay, Patuxent River (2-P-5)",1918,8527,0,-76.30972,38.33333,"Estuary. Physiography: coastal plain. Surrounding vegetation: not applicable.","Estuarine"
"Puyuk Lake",1920,8529,15,-162.2,63.5,"Maar crater on volcanic island. Physiography: subdued rounded hills and volcanic cones. Surrounding vegetation: mesic low-shrub tundra.","Volcanic Origin Lake"
"Frying Pan Lake",827,853,2720,-111.66667,38.61667,"Shallow lake behind Pleistocene moraine. Physiography: horst and graben plateau. Surrounding vegetation: Pinus/Pseudotsuga/Cercocarpus/Populus.","Moraine Dammed Lake"
"Pyle Site",1934,8530,250,-84.88333,40.66667,"Swale.","Terrestrial"
"Queens Lake",1937,8531,480,-110.56667,64.11667,"Glacial lake. Physiography: Canadian shield, rolling terrain. Surrounding vegetation: Alnus crispa, Betula glandulosa tundra.","Glacial Origin Lake"
"Quicksand Pond",1939,8533,285,-84.86528,34.32639,"Sinkhole pond. Physiography: ridge and valley province of Appal. Mtn. Surrounding vegetation: Acer rubrum/Lyonia lucida/Nyssa biflora.","Solution Origin Lake"
"Quillin Site",1940,8534,305,-81.96667,41,"Fen in kettle hollow. Physiography: Allegheny Plateau.","Terrestrial"
"Radtke Lake",1944,8535,274,-88.1,43.4,NA,"Lacustrine"
"Rivière-aux-Feuilles 1",1945,8536,205,-72.06694,58.23278,"Rock basin in tundra barrens. Physiography: hilly morainic landscape, shallow till. Surrounding vegetation: Forest tundra.","Natural Lake"
"Rivière-aux-Feuilles 2",1946,8537,225,-71.95,58.21694,"Rock basin. Physiography: shallow till-covered undulating plateau. Surrounding vegetation: Forest tundra.","Natural Lake"
"Tourbière de la Rivière-aux-Feuilles",1947,8538,200,-72.06694,58.23278,"Minerotrophic fen. Physiography: shallow till-covered undulating plateau. Surrounding vegetation: Forest tundra.","Fen"
"Fudger Lake",828,854,320,-83.53333,40.1,"Kettle lake. Physiography: Cable Moraine.","Glacial Origin Lake"
"Ra Lake",1953,8540,330,-126.41667,65.23333,"Lake in Mackenzie River valley. Physiography: Franklin Mountains. Surrounding vegetation: Populus, Betula, Picea.","Natural Lake"
"Ramsay Lake",1954,8541,200,-76.1,45.6,"Bedrock depression. Physiography: Canadian shield. Surrounding vegetation: boggy shrub dominated by ericaceous sps.","Glacial Scour Lake"
"Ranger Lake",1955,8542,820,-153.65,67.14722,"Cirque lake. Physiography: mountainous. Surrounding vegetation: birch shrub tundra.","Cirque Lake"
"Rapid Lake",1956,8543,3134,-109.19389,42.72889,"Subalpine lake w/ inlet and outlet streams. Physiography: glaciated mountains. Surrounding vegetation: Pinus albicaulis, Salix, sedges, grasses.","Moraine Dammed Lake"
"Rattle Lake",1957,8544,460,-92.7,49.35,"Small lake. Physiography: rolling terminal moraine. Surrounding vegetation: Picea/Pinus/Betula.","Glacial Origin Lake"
"Rayburn's Dome",1959,8546,61,-93.16667,32.46667,NA,"Marsh"
"Rebel Lake",1973,8548,914,-149.8,67.41667,"Kettle lake. Physiography: mountainous. Surrounding vegetation: birch-heath tundra.","Kettle Lake"
"Redondo Lake",1974,8549,460,-155.03333,67.68333,"Kettle lake. Physiography: mountain valley. Surrounding vegetation: birch tundra, alder thickets, spruce.","Kettle Lake"
"Fudger Lake",828,855,320,-83.53333,40.1,"Kettle lake. Physiography: Cable Moraine.","Glacial Origin Lake"
"Vallée de l'Albion",1975,8550,320,-71.325,45.67083,"Rock basin lake with riverine mire. Physiography: rolling moraine with prominent hills. Surrounding vegetation: Betulo luteae - Aceretum sacchari.","Natural Lake"
"Redrock Lake",1976,8551,3095,-105.54167,40.08333,"Depression in moraine (Mid Pindale age). Physiography: low morainic ridges in Front Range. Surrounding vegetation: Pinus, Populus, Juniperus, Ericaceae.","Glacial Scour Lake"
"Redstone Lake",1977,8552,914,-152.6,67.25,"Cirque lake. Physiography: mountanous. Surrounding vegetation: birch shrub tundra.","Cirque Lake"
"Reidel Lake",1979,8553,443,-95.28417,46.21194,"Kettle lake in Parkers Prairie sandplain. Physiography: outwash plain, local relief 6 m. Surrounding vegetation: oak woodland.","Kettle Lake"
"Reindeer Lake",1980,8554,NA,-132.16667,69.11667,"Lake of glacial origin. Surrounding vegetation: dwarf Betula, Ericaceae, Salix, Alnus.","Glacial Origin Lake"
"Chesapeake Bay, Rhode River",1987,8555,0,-76.39472,38.88639,"Estuary. Physiography: coastal plain. Surrounding vegetation: not applicable.","Estuarine"
"Rhule Fen",1989,8556,268,-85.74167,39.95361,"Fen. Physiography: till plain. Surrounding vegetation: wetland.","Fen"
"Rice Lake",1990,8557,620,-101.53972,48.00942,"Kettle lake. Physiography: rolling end moraine. Surrounding vegetation: agricultural, western wheatgrass prairie.","Kettle Lake"
"R Lake",1993,8558,147,-84.55833,54.30556,NA,"Lacustrine"
"Furnival Lake",829,856,440,-84.93,48.21,NA,"Lacustrine"
"L'Anse aux Meadows Road Cut Bog",2187,8560,0,-55.53,51.6,"Basin bog. Physiography: Low relief marine terrace. Surrounding vegetation: Sphagnum/Betula/Larix/Myrica.","Fen"
"Lac à Robin",2189,8561,50,-65.26694,48.05194,"Shallow rock basin with riverine marsh. Physiography: low plateau. Surrounding vegetation: Betulo luteae - Aceretum sacchari.","Natural Lake"
"Robinson's Pond",2190,8562,32,-58.8,48.26,NA,"Lacustrine"
"Lac des Roches Moutonnées",2191,8563,410,-64.81667,56.76667,NA,"Lacustrine"
"Rogers Lake",2194,8565,11,-72.29915,41.3525,"Two basin lake. Physiography: irregular topography. Surrounding vegetation: oak, maple, hickory, birch, ash.","Lacustrine"
"Lac Romer",2209,8566,18,-73.33083,45.96389,"Filled lake in an erosional depression. Physiography: flat deltaic dissected plain. Surrounding vegetation: Caryo - Aceretum sacchari.","Natural Lake"
"Rose Swamp",2210,8567,228,-79.44,44.18,"Swamp in drumlin field. Physiography: Newmarket till plain. Surrounding vegetation: Pinus/Tsuga/Juniperus/Acer/Fagus/Ulmus.","Swamp"
"Rose Lake",2212,8568,690,-77.925,41.91667,"Ice-block depr. lake on term. moraine. Physiography: Appalachian Plateau. Surrounding vegetation: mixed hardwood forest dom. by Tsuga.","Kettle Lake"
"Rossburg Bog",2213,8569,372,-93.6,46.58333,"Peat bog. Physiography: rolling Wisconsin ground moraine. Surrounding vegetation: Sphagnum moss.","Mire"
"Saint-Gabriel",830,857,250,-73.47583,46.27583,"Triangular rock basin. Physiography: till-covered hilly bedrock. Surrounding vegetation: Tilio - Aceretum sacchari.","Natural Lake"
"Ross Pond",2214,8570,37,-69.41028,43.92139,"Glacial scour lake. Physiography: rolling, local relief 30 m. Surrounding vegetation: spruce-fir/northern hardwoods.","Glacial Scour Lake"
"Rostock Mammoth Site",2215,8571,333,-81,43.5,"The site is a shallow depression filled with marl capped by peat. The fossils are from the marl.","Mire"
"Lake RS29",2219,8572,180,-95.28333,73.13333,"Lake. Physiography: Somerset Island. Surrounding vegetation: polar desert.","Glacial Origin Lake"
"Lake RS36",2225,8573,160,-95.06667,72.58333,"Lake. Physiography: Somerset Island. Surrounding vegetation: dwarf shrub tundra.","Glacial Origin Lake"
"Ruppert Lake",2232,8574,210,-154.23333,67.06667,"Kettle lake on terminal moraine. Physiography: base of mountains. Surrounding vegetation: black spruce forest.","Kettle Lake"
"Rutz Lake",2235,8576,314,-93.858975,44.87083,"Kettle lake. Physiography: gently rolling moraine (Des Moines Lobe). Surrounding vegetation: agricultural.","Kettle Lake"
"Ryerse Lake",2239,8578,259,-85.17917,46.13194,NA,"Lacustrine"
"Lac au Sable",2240,8579,530,-66.21667,51.4,"Moderate relief, stream-fed lake. Physiography: Laurentide Massif. Surrounding vegetation: black spruce, balsam fir.","Glacial Scour Lake"
"Sakana Lake",2245,8581,640,-147.85,67.43333,"Kettle lake. Physiography: mountainous. Surrounding vegetation: open black spruce forest.","Kettle Lake"
"Lac à Sam",2253,8588,240,-72.97889,46.65417,"Rock basin lake. Physiography: hilly morainic landscape. Surrounding vegetation: Betulo luteae - Aceretum sacchari.","Natural Lake"
"Gardiner's Hole",832,859,2215,-110.73333,44.91667,"Open sagebrush meadow. Physiography: intermontane basin. Surrounding vegetation: open Artemisia steppe.","Fen"
"Sandy Cove Pond",2257,8590,100,-57.71667,54.4,NA,"Lacustrine"
"San Joaquin Marsh",2258,8591,2,-117.85833,33.65833,"Salt marsh. Physiography: coastal. Surrounding vegetation: salt marsh, urban.","Salt Marsh"
"San Agustin Plains",2260,8592,2069,-108.25,33.86667,"Playa lake. Physiography: Datil-Mogollon volcanic plateau. Surrounding vegetation: pinyon-juniper woodland.","Playa"
"Sarnia Elk Site Section",2261,8593,185,-82.32,42.98,NA,"Terrestrial"
"Lac Manitou",2262,8594,454,-74.46694,46.05778,"Rock basin. Physiography: hilly morainic landscape. Surrounding vegetation: Betulo luteae - Aceretum sacchari.","Natural Lake"
"Lac aux Quenouilles",2263,8595,403,-74.39583,46.17194,"Rock basin lake. Physiography: hilly morainic landscape. Surrounding vegetation: Betulo luteae - Aceretum sacchari.","Natural Lake"
"Sierra Bacha 1",2265,8597,220,-112.57639,29.77083,"East-facing rockshelter in rhyolite. Located about 1.5 km inland from the Gulf of California in Coloradito Canyon. Surrounding vegetation: creosote, elephant tree, brittlebush.","Neotoma Midden"
"Sierra Bacha 3",2266,8598,180,-112.63333,29.81944,"Located in Escondido Canyon. Surrounding vegetation: creosote, elephant tree, brittlebush.","Neotoma Midden"
"Lake Site South Burin Peninsula",2267,8599,114,-55.6125,46.91944,NA,"Lacustrine"
"Site 16 (Swain unpublished)",86,86,472,-88.45,46.57,NA,"Unknown"
"Gass Lake",833,860,211,-87.73333,44.05,NA,"Lacustrine"
"SC1 Pond",2268,8600,550,-131.90667,54.41667,"Small subalpine lake. Physiography: San Christoval Range, Moresby Island. Surrounding vegetation: Ts mert, Chamae noot, Pinus contorta.","Glacial Scour Lake"
"Scott Lake",2269,8601,51,-81.94163,27.965415,"Sinkhole lake on the coastal plain in Lakeland, Florida. Native vegetation southern broad-leaved forest: Quercus/Persea/Carya.","Solution Origin Lake"
"Screaming Yellowlegs Pond",2270,8602,650,-151.41667,67.58333,"Kettle lake. Physiography: mountainous. Surrounding vegetation: black spruce muskeg.","Kettle Lake"
"Seagull Lake",2271,8603,637,-145.21667,68.26667,"Kettle lake. Physiography: low mountains. Surrounding vegetation: birch tundra, white spruce stands.","Kettle Lake"
"Kettle's Lake [Second Lake]",2272,8604,196,-79.97824,44.843875,"Kettle lake. Surrounding vegetation: abandoned fields planted with pine.","Kettle Lake"
"Seidel",2274,8605,211,-87.51556,44.45,"Lake in enclosed hollow. Physiography: ground moraine of the Valders substage. Surrounding vegetation: agricultural/Alnus/Cornus/Betula/Larix.","Glacial Origin Lake"
"Gause Bog",834,861,113,-96.72111,30.785,"Small bog. Physiography: dissected rolling and hilly topography. Surrounding vegetation: yaupon/wax-myrtle/sumac/water oak/moss.","Mire"
"Seminary Site",2284,8613,NA,-96.75833,46.925,NA,"Terrestrial"
"LD Lake",2285,8614,122,-67.13194,50.14028,NA,"Lacustrine"
"Sewell Lake",2290,8619,370,-99.5763,49.84135,"Interdunal swale. Physiography: Assiniboine fan, dunes and swales. Surrounding vegetation: prairie, scattered Picea glauca.","Interdunal Lake"
"Georgian Bay, Lake Huron (1)",835,862,176,-80.86,44.74,NA,"Glacial Origin Lake"
"Saint-Francois de Sales",2291,8620,358,-72.14694,48.29389,"Kettle lake (?) with riverine mire. Physiography: outwash plain. Surrounding vegetation: Betulo papyriferaea - Abietetum.","Natural Lake"
"Shady Valley Bog",2292,8621,383,-81.93333,36.525,NA,"Mire"
